index,CSVname,well,time,Number of Spikes,Mean Firing Rate (Hz),Number of Active Electrodes,Weighted Mean Firing Rate (Hz),ISI Coefficient of Variation - Avg,Number of Bursts,Number of Bursting Electrodes,Burst Duration - Avg (s),Burst Duration - Std (s),Number of Spikes per Burst - Avg,Number of Spikes per Burst - Std,Mean ISI within Burst - Avg,Mean ISI within Burst - Std,Median ISI within Burst - Avg,Median ISI within Burst - Std,Inter-Burst Interval - Avg (s),Inter-Burst Interval - Std (s),Burst Frequency - Avg (Hz),Burst Frequency - Std (Hz),Normalized Duration IQR - Avg,Normalized Duration IQR - Std,IBI Coefficient of Variation - Avg,IBI Coefficient of Variation - Std,Burst Percentage - Avg,Burst Percentage - Std,Number of Network Bursts,Network Burst Frequency (Hz),Network Burst Duration - Avg (sec),Network Burst Duration - Std (sec),Number of Spikes per Network Burst - Avg,Number of Spikes per Network Burst - Std,Number of Elecs Participating in Burst - Avg,Number of Elecs Participating in Burst - Std,Number of Spikes per Network Burst per Channel - Avg,Number of Spikes per Network Burst per Channel - Std,Network Burst Percentage,Network ISI Coefficient of Variation,Area Under Normalized Cross-Correlation,Area Under Cross-Correlation,Width at Half Height of Normalized Cross-Correlation,Width at Half Height of Cross-Correlation,Synchrony Index,average_connection_strength,connection_density,average_transmission_speed,disease_status
39,3,A10,200-300,5107,6.464557,8,6.464557,2.604941,144,6,0.434895,0.187675,30.043152,10.56817,0.017153,0.007237,0.011602,0.007003,4.087078,0.63453,0.243038,0.042963,0.402333,0.223934,0.483401,0.08973,63.46408,40.171994,20,0.202532,0.985544,0.270584,215.1,46.975806,7.4,0.598243,29.167262,6.437661,84.237321,3.311747,0.428262,17.452803,49,154,0.642623,2995.392857,1,189.8714271,0
40,4,A10,200-300,7179,9.087342,8,9.087342,3.21353,150,7,0.406366,0.2456,40.057809,31.518939,0.018612,0.005653,0.01463,0.006381,6.121872,5.242333,0.216998,0.090925,0.625651,0.324618,0.908751,0.1498,66.121922,33.360581,14,0.141772,1.357937,0.644945,448.785714,200.070825,7.642857,0.633324,57.967262,25.323459,87.519153,3.568972,0.418989,33.671248,13,150,0.686002,7001.214286,1,161.1862152,0
41,3,A10,50-150,5046,6.323308,8,6.323308,2.738699,145,6,0.435984,0.194116,29.518673,10.967149,0.017424,0.007324,0.01202,0.007388,4.147294,0.668826,0.242272,0.041778,0.432343,0.208511,0.428931,0.131975,63.497616,40.606955,20,0.200501,1.007112,0.279932,212.5,49.820203,7.35,0.48936,28.997321,6.95742,84.225129,2.955469,0.391531,15.818475,50,158,0.591887,2793.25,1,187.576161,0
42,4,A10,50-150,6809,8.532581,8,8.532581,3.099309,152,7,0.402693,0.247246,37.283407,30.743238,0.020196,0.010673,0.016574,0.012055,5.728203,3.863766,0.217687,0.106523,0.787604,0.244715,0.992501,0.15398,64.339091,35.332715,15,0.150376,1.242891,0.659631,393.266667,245.503118,7.4,0.736788,51.876984,31.587318,86.635336,3.66649,0.420193,29.999642,15,142,0.670706,6115.642857,1,160.2692782,0
43,1,A10,50-150,3281,4.111529,8,4.111529,4.100125,113,8,0.279784,0.186567,23.589747,22.569971,0.017246,0.004521,0.01373,0.00547,7.996539,2.69217,0.141604,0.054499,0.54372,0.441038,0.717249,0.266386,74.555294,21.088341,10,0.100251,1.12708,0.208987,298.6,45.085598,8,0,37.325,5.6357,91.008839,5.766225,0.486287,10.672395,36,131,0.703825,1919.464286,1,189.8816916,0
44,2,A10,50-150,2865,3.590226,7,4.095954,3.523504,142,6,0.161365,0.080673,15.979171,8.437623,0.012351,0.004007,0.008187,0.003145,3.597891,0.607296,0.23726,0.117198,0.408475,0.139679,0.783069,0.107205,58.640583,47.027571,21,0.210526,0.503109,0.21223,132.142857,40.441669,6.904762,0.70034,19.144274,5.806266,96.858639,7.875798,0.401501,9.702828,34,111,0.561566,1627.178571,1,255.5945081,0
1810,2,H3,0-100,1660,2.080201,7,2.377372,2.050333,90,5,0.241814,0.21482,11.191051,7.484189,0.023826,0.005539,0.018087,0.005392,5.798063,1.892594,0.180451,0.055365,0.464385,0.092454,0.642081,0.133376,45.454677,33.56005,13,0.130326,0.841945,0.266792,76.307692,23.396526,6,0.707107,12.660073,3.098095,59.759036,3.408672,0.177053,1.147512,1,4,0.291158,261.4285714,0.75,128.5773551,1
1811,3,H3,0-100,1070,1.340852,5,2.135338,2.586283,50,4,0.261544,0.094036,11.204545,4.664723,0.027774,0.009445,0.022282,0.010906,7.093245,3.171371,0.125313,0.107818,1.192095,1.048182,0.720097,0.269438,38.882414,40.332212,9,0.090226,0.756044,0.172475,72.444444,15.452436,5.444444,0.527046,13.322222,2.414194,60.934579,3.502592,0.068836,0.44898,15,156,0.226665,175.4666667,0.535714286,184.2197563,1
1812,3,H3,100-200,1007,1.261905,6,1.68254,2.274968,54,4,0.223235,0.035892,9.474506,3.469016,0.029428,0.012276,0.021773,0.01126,15.260002,15.402413,0.135338,0.111484,0.78739,0.498624,0.746726,0.25932,39.990608,37.551814,8,0.080201,0.68924,0.143369,65.75,9.483068,5.625,0.517549,11.8375,2.449972,52.234359,3.644569,0.096237,0.466165,20,99,0.26041,163.8666667,0.535714286,143.3164392,1
1813,2,H3,100-200,1664,2.085213,7,2.383101,2.184839,88,6,0.255514,0.181142,11.089658,7.090463,0.026955,0.010075,0.022261,0.012764,8.010098,4.403077,0.147034,0.078852,0.568158,0.215054,0.540991,0.105433,51.790369,29.064428,12,0.120301,0.79306,0.141333,79.916667,17.33865,6.25,0.452267,12.831349,2.941914,57.632212,3.972164,0.179223,1.213033,1,6,0.301249,294.1904762,0.75,145.2531134,1
